"sector","process","co2","ch4","n2o","pfc","sf6","hfc","units","source"
"mineral products","cement production","yes","no","no","no","no","no",,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"mineral products","lime production","yes","no","no","no","no","no",,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"mineral products","limestone use","yes","no","no","no","no","no",,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"mineral products","soda ash production and use","yes","no","no","no","no","no",,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"mineral products","fletton brick manufacture","yes","yes","no","no","no","no",,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"chemical industry","ammonia","yes","yes","no","no","no","no",,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"chemical industry","nitric acid","no","no","yes","no","no","no",,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"chemical industry","adpic acid","no","no","yes","no","no","no",,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"chemical industry","urea","no","no","yes","no","no","no",,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"chemical industry","carbides","yes","yes","no","no","no","no",,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"chemical industry","caprolactam","no","no","yes","no","no","no",,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"chemical industry","petrochemicals","no","yes","no","no","no","no",,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"metal production","iron steel and ferroalloys","yes","yes","no","no","no","no",,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"metal production","aluminium","yes","no","no","yes","no","no",,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"metal production","magnesium","no","no","no","no","yes","yes",,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"metal production","other metals","yes","no","no","no","no","no",,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"energy industry","coal mining","no","yes","no","no","no","no",,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"energy industry","solid fuel transformation","yes","no","no","no","no","no",,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"energy industry","oil production","yes","yes","no","no","no","no",,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"energy industry","gas production and distribution","yes","yes","no","no","no","no",,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"energy industry","venting and flaring from oil/gas production","yes","yes","no","no","no","no",,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"other","production of halocarbons","no","no","no","yes","no","yes",,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"other","use of halocarbons and sf6","no","no","no","yes","yes","yes",,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"other","organic waste management","yes","yes","no","no","no","no",,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
