"wasteType","kgCO2ePerTonneRecycled","kgCO2ePerTonneVirgin","kgCO2eDisposedByRecyclingClosedLoop","kgCO2eDisposedByRecyclingOpenLoop","kgCO2ePowerOnlyMovingGrate","kgCO2eAnaerobicDigestion","kgCO2eDisposedByComposting","kgCO2eDisposedByLandfill","units","source"
"paper and card","950","950","-713",,"-500","-121","57","550",,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"kitchen/food waste",,"4000",,,"-89","-100","30","365",,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"garden/plant waste",,"89",,,"-121","-100","57","210",,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"other organic","0","0","44",,"-271","-330","34","230",,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"wood","6","256","250",,"-700",,"250","930",,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"textiles",,"19294","-3800",,"600",,,"300",,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"plastic (dense)","1600","3100","-1500",,"1800",,,"40",,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"plastic (film)","1500","2500","-1000",,"1800",,,"35",,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"ferrous metal","1800","3100","-1300",,"-786",,,"10",,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"non-ferrous metal","2000","11000","-9000",,"23",,,"10",,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"silt/soil","4","4","16",,"35",,,"10",,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"aggregate materials","4","8","-4",,"35",,,"10",,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"misc combustibles",,"102","58",,"242",,,"305",,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"glass","525","840","-315","0","5",,,"10",,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"other waste","2860","2860","-259",,"97","-13","7","81",,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"batteries",,,-490,,75,75,75,75,,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"small waste electrical and electronic equipment",,,-580,,,,,470,,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"large waste electrical and electronic equipment",,,-710,,,,,540,,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"tyres",510,3410,-2900,-20,-1500,,,,,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
