"type","fuel","vehicleClass","massCO2PerDistance","massCH4PerDistance","massN2OPerDistance","massDirectCO2ePerDistance","massIndirectCO2ePerDistance","massTotalCO2ePerDistance","units","source"
"car","petrol","mini",0.16248,0.00016,0.00084,0.16348,0.02901,0.19249,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"car","petrol","supermini",0.17161,0.00016,0.00084,0.17261,0.03064,0.20325,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"car","petrol","lower medium",0.20053,0.00016,0.00084,0.20153,0.03580,0.23733,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"car","petrol","upper medium",0.22867,0.00016,0.00084,0.22967,0.04082,0.27049,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"car","petrol","executive",0.21568,0.00016,0.00084,0.21668,0.03851,0.25519,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"car","petrol","luxury",0.30019,0.00016,0.00084,0.30119,0.05359,0.35478,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"car","petrol","sports",0.25445,0.00016,0.00084,0.25545,0.04543,0.30088,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"car","petrol","duel purpose 4x4",0.27629,0.00016,0.00084,0.27729,0.04933,0.32662,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"car","petrol","mpv",0.23345,0.00016,0.00084,0.23445,0.04168,0.27613,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"car","diesel","mini",0.18233,0.00005,0.00167,0.18405,0.03498,0.21903,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"car","diesel","supermini",0.15440,0.00005,0.00167,0.15612,0.02962,0.18574,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"car","diesel","lower medium",0.16284,0.00005,0.00167,0.16456,0.03124,0.19580,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"car","diesel","upper medium",0.18079,0.00005,0.00167,0.18251,0.03468,0.21719,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"car","diesel","executive",0.19905,0.00005,0.00167,0.20077,0.03819,0.23896,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"car","diesel","luxury",0.17631,0.00005,0.00167,0.17803,0.03382,0.21185,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"car","diesel","sports",0.17357,0.00005,0.00167,0.17529,0.03330,0.20859,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"car","diesel","duel purpose 4x4",0.26854,0.00005,0.00167,0.27026,0.05152,0.32178,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"car","diesel","mpv",0.20819,0.00005,0.00167,0.20991,0.03994,0.24985,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"car","unknown","mini",0.16547,0.00015,0.00090,0.16652,0.02945,0.19597,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"car","unknown","supermini",0.16961,0.00014,0.00103,0.17078,0.03041,0.20119,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"car","unknown","lower medium",0.18888,0.00013,0.00109,0.19010,0.03441,0.22451,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"car","unknown","upper medium",0.20711,0.00012,0.00116,0.20839,0.03847,0.24686,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"car","unknown","executive",0.20973,0.00010,0.00131,0.21114,0.03833,0.24947,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"car","unknown","luxury",0.22496,0.00010,0.00131,0.22637,0.04236,0.26873,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"car","unknown","sports",0.25148,0.00010,0.00131,0.25289,0.03854,0.29143,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"car","unknown","duel purpose 4x4",0.27175,0.00010,0.00131,0.27316,0.05057,0.32373,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"car","unknown","mpv",0.22011,0.00011,0.00123,0.22145,0.04085,0.26230,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"taxi","diesel","regular",0.21040,0.00005,0.00167,0.21212,0.02431,0.23643,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"taxi","diesel","black cab",0.24157,0.00005,0.00167,0.24329,0.04639,0.28968,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
