name,Ship Generic
algFile,default.js
name,path,type,isDataItemValue,isDrillDown,unit,perUnit,default,choices
Type,type,TEXT,true,true,,,,
kgCO2 Per Passenger Km,kgCO2PerKmPassenger,DECIMAL,true,false,,,,
kgCO2 Per Passenger Km IE,kgCO2PerPassengerKmIE,DECIMAL,true,false,,,,
Source,source,TEXT,true,false,,,,
Typical journey distance,typicalJourneyDistance,DECIMAL,true,false,,,,
Country,country,TEXT,false,false,,,,
Distance,distance,DECIMAL,false,false,km,year,,
Distance Km Per Month,distanceKmPerMonth,DECIMAL,false,false,km,month,,
Distance per journey,distancePerJourney,DECIMAL,false,false,km,,,
Is return,isReturn,TEXT,false,false,,,,
Journey frequency,journeyFrequency,TEXT,false,false,,,,
Number of journeys,numberOfJourneys,DECIMAL,false,false,,,,
Number of passengers,numberOfPassengers,DECIMAL,false,false,,,,
Use typical distance,useTypicalDistance,TEXT,false,false,,,,
